start	end	title	description	endpoint	priority	type	icon	resources
Genes	Tissues/Cells	Cell and Tissue Knowledge from Common Fund Programs Appyter	An Appyter that uses APIs from different CF DCCs to generate a report about human cells and tissues from multiple sources	https://appyters.maayanlab.cloud/#/CFDE-Gene-Partnership	1	Appyter	/static/icons/appyter.png	["GTEx", "LINCS", "HuBMAP"]
Genes	Glycans	Glycans Knowledge from Common Fund Programs Appyter	An Appyter that uses APIs from different CF DCCs to generate a report about human glycans from Glycosciences	https://appyters.maayanlab.cloud/#/CFDE-Gene-Partnership	1	Appyter	/static/icons/appyter.png	["Glycoscience"]
Genes	Tissues/Cells	GTEx Data portal	The GTEx portal provides gene expression and eQTLs for over 50 human tissues from postmortem donors	https://gtexportal.org/home/ 	2	Portal	/static/icons/portal.png	["GTEx"]
Variants	Tissues/Cells	GTEx Data portal	The GTEx portal provides gene expression and eQTLs for over 50 human tissues from postmortem donors	https://gtexportal.org/home/ 	2	Portal	/static/icons/portal.png	["GTEx"]
Glycans	Glycans	GlyGen Data Portal	The GlyGen portal provides knowledge about protein glycosylations from multiple primary data colelction efforts	https://www.glygen.org/glycan-search/ 	2	Portal	/static/icons/portal.png	["Glycoscience"]
Drugs	Drugs	Pharos	Pharos aggregates knowledge about proteins and lignads from multiple sources to illuminate knowldge about under-studied potential drug targets	https://pharos.nih.gov/ligands	2	Portal	/static/icons/portal.png	["IDG"]
Genes	Variants	ClinGen	ClinGen provides knowledge about the clinical relevance of genes and variants	https://clinicalgenome.org/	2	Portal	/static/icons/portal.png	["exRNA"]
Drugs	Genes	SigCom LINCS	SigCom LINCS hosts over 1 million gene expression signatures created from profiling human cell lines with the L1000 assay	https://maayanlab.cloud/sigcom-lincs/#/MetadataSearch/Signatures	2	Portal	/static/icons/portal.png	["LINCS"]
Tissues/Cells	Datasets	HuBMAP Data Portal	The HuBMAP Data Portal host over 1000 datasets collected by various single cell assays applied to human tissues	https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset	2	Portal	/static/icons/portal.png	["HuBMAP"]
Genes	Tissues/Cells	SigCom Graph Gene Report 	SigCom Graph is a platform that enables users to build workflows by connecting services from various resources	https://scg.maayanlab.cloud/report/2ca09368-05e3-5ae1-ad41-7aa0c5216e7d	1	SigCom Graph	/static/icons/scg.png	["GTEx", "LINCS", "Glycoscience", "IDG"]
exRNAs	Datasets	exRNA Atlas	The exRNA Atlas is the data repository developed by the ERCC). It includes exRNA profiles from human and mouse. 	https://exrna-atlas.org/	2	Portal	/static/icons/portal.png	["exRNA"]
Metabolites	Datasets	Metabolomics Workbench	Data repository for metabolomics profiling and analysis.	https://www.metabolomicsworkbench.org/	2	Portal	/static/icons/portal.png	["Metabolomics"]
Variants	Variants	ClinGen	ClinGen provides knowledge about the clinical relevance of genes and variants	https://clinicalgenome.org/	2	Portal	/static/icons/portal.png	["exRNA"]
Tissues/Cells	Datasets	GTEx Data portal	The GTEx portal provides gene expression and eQTLs for over 50 human tissues from postmortem donors	https://gtexportal.org/home/ 	2	Portal	/static/icons/portal.png	["GTEx"]
